SeriesDescription,GeoAreaName,Education level,Nature,Sex,Units,TimePeriod,Value,Cluster
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2000,39.56,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2000,40.27,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2000,36.61129,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2000,32.79,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2000,19.4,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2000,29.7,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2009,32.26541,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2009,33.67,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2009,56.36,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2009,43.33176,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2009,30.95,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2009,30.93,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2012,44.8,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2012,47.66456,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2012,50.72,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2012,39.7,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2012,39.33503,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2012,38.99,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2015,44.61966,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2015,46.71703,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2015,48.80595,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2015,49.72273,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2018,37.90172,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2018,55.90192,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2018,47.76432,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2018,58.04195,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2018,59.42498,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2018,57.62715,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,PRIMAR,C,BOTHSEX,PERCENT,2019,61.75176,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,PRIMAR,C,FEMALE,PERCENT,2019,60.54636,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,PRIMAR,C,MALE,PERCENT,2019,62.88525,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,PRIMAR,C,MALE,PERCENT,2021,90.40152,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,PRIMAR,C,BOTHSEX,PERCENT,2021,92.11941,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,PRIMAR,C,FEMALE,PERCENT,2021,93.93931,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2022,23.03,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,MALE,PERCENT,2022,18.39,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2022,26.29,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2022,34.8,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,BOTHSEX,PERCENT,2022,26.05,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,LOWSEC,C,FEMALE,PERCENT,2022,29.33,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Albania,PRIMAR,C,BOTHSEX,PERCENT,2023,68.0,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,MALE,PERCENT,2003,13.40253,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,FEMALE,PERCENT,2003,20.82552,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,BOTHSEX,PERCENT,2003,17.12856,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,BOTHSEX,PERCENT,2007,18.76543,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,FEMALE,PERCENT,2007,21.0556,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,MALE,PERCENT,2007,16.60908,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,MALE,PERCENT,2011,21.92539,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,FEMALE,PERCENT,2011,30.51013,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,BOTHSEX,PERCENT,2011,26.19335,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,BOTHSEX,PERCENT,2011,33.83277,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,FEMALE,PERCENT,2011,33.43132,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,MALE,PERCENT,2011,34.24128,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,FEMALE,PERCENT,2015,43.18407,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,MALE,PERCENT,2015,36.05217,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,MALE,PERCENT,2015,37.27004,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,FEMALE,PERCENT,2015,42.61992,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,BOTHSEX,PERCENT,2015,39.93383,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,LOWSEC,C,BOTHSEX,PERCENT,2015,39.47395,1
Proportion of children and young people achieving a minimum proficiency level in reading and mathematics (%),Bahrain,PRIMAR,C,MALE,PERCENT,2016,59.82738,1
